,addtime,bId,cabin,depTime,dt_diff_h,flightNumber,invalid,last_cabin,last_price,last_seats,p_d_percent,preTime,price,price_diff,seats
6,1550113116,416000111,W,1550661000,152.19,WN2202,2,W,0.0,0.0,inf,547884,409.0,409.0,3
9,1550168252,416000111,W,1550661000,136.87444444444446,WN2202,1,W,409.0,3.0,-100.0,492748,0.0,-409.0,0
10,1550179718,416000111,W,1550661000,133.68944444444443,WN2202,2,W,0.0,0.0,inf,481282,409.0,409.0,3
11,1550189503,416000111,W,1550661000,130.9713888888889,WN2202,1,W,409.0,3.0,-100.0,471497,0.0,-409.0,0
15,1550515482,416000111,W,1550661000,40.42166666666667,WN2202,2,W,0.0,0.0,inf,145518,409.0,409.0,4
2,1550061247,416000112,W,1550630700,158.18138888888888,WN1389,2,W,257.0,9.0,9.727626459143968,569453,282.0,25.0,9
9,1550518619,416000112,W,1550630700,31.13361111111111,WN1389,1,W,282.0,9.0,-100.0,112081,0.0,-282.0,0
11,1550202511,416000113,W,1550640900,121.77472222222222,WN914,2,W,147.0,4.0,10.204081632653061,438389,162.0,15.0,9
13,1550314278,416000113,W,1550640900,90.72833333333332,WN914,2,W,162.0,9.0,-9.25925925925926,326622,147.0,-15.0,3
16,1550348725,416000113,W,1550640900,81.15972222222221,WN914,2,W,147.0,3.0,10.204081632653061,292175,162.0,15.0,9
17,1550403041,416000113,W,1550640900,66.07194444444444,WN914,2,W,162.0,9.0,-9.25925925925926,237859,147.0,-15.0,3
18,1550451765,416000113,W,1550640900,52.5375,WN914,2,W,147.0,3.0,10.204081632653061,189135,162.0,15.0,4
19,1550492270,416000113,W,1550640900,41.28611111111111,WN914,2,W,162.0,4.0,-9.25925925925926,148630,147.0,-15.0,9
22,1550588905,416000113,W,1550640900,14.443055555555556,WN914,2,W,147.0,4.0,43.53741496598639,51995,211.0,64.0,3
7,1550080490,416000114,W,1550615400,148.5861111111111,WN964,2,W,249.0,3.0,22.48995983935743,534910,305.0,56.0,4
10,1550097499,416000114,W,1550615400,143.86138888888888,WN964,2,W,305.0,4.0,32.131147540983605,517901,403.0,98.0,3
11,1550099139,416000114,W,1550615400,143.40583333333333,WN964,2,W,403.0,3.0,-24.317617866004962,516261,305.0,-98.0,4
12,1550102147,416000114,W,1550615400,142.5702777777778,WN964,2,W,305.0,4.0,32.131147540983605,513253,403.0,98.0,3
13,1550122576,416000114,W,1550615400,136.89555555555555,WN964,2,W,403.0,3.0,36.47642679900744,492824,550.0,147.0,4
1,1549968779,416000115,W,1550654100,190.36694444444444,WN1412,2,W,162.0,9.0,-9.25925925925926,685321,147.0,-15.0,3
4,1550082003,416000115,W,1550654100,158.91583333333335,WN1412,2,W,147.0,3.0,10.204081632653061,572097,162.0,15.0,9
5,1550102150,416000115,W,1550654100,153.31944444444443,WN1412,2,W,162.0,9.0,-9.25925925925926,551950,147.0,-15.0,3
6,1550141339,416000115,W,1550654100,142.4336111111111,WN1412,2,W,147.0,3.0,10.204081632653061,512761,162.0,15.0,9
11,1550311155,416000115,W,1550654100,95.2625,WN1412,2,W,162.0,3.0,4.938271604938271,342945,170.0,8.0,3
12,1550368904,416000115,W,1550654100,79.22111111111111,WN1412,2,W,170.0,3.0,-4.705882352941177,285196,162.0,-8.0,3
18,1550541314,416000115,W,1550654100,31.329444444444444,WN1412,2,W,162.0,3.0,4.938271604938271,112786,170.0,8.0,3
19,1550554462,416000115,W,1550654100,27.677222222222223,WN1412,2,W,170.0,3.0,-4.705882352941177,99638,162.0,-8.0,3
21,1550575702,416000115,W,1550654100,21.777222222222225,WN1412,2,W,162.0,4.0,-9.25925925925926,78398,147.0,-15.0,9
1,1549970268,416000116,W,1550662800,192.37,WN910,2,W,139.0,9.0,-8.633093525179856,692532,127.0,-12.0,3
5,1550024685,416000116,W,1550662800,177.25416666666666,WN910,2,W,127.0,3.0,9.448818897637794,638115,139.0,12.0,9
6,1550054759,416000116,W,1550662800,168.90027777777777,WN910,2,W,139.0,9.0,-8.633093525179856,608041,127.0,-12.0,9
8,1550133623,416000116,W,1550662800,146.9936111111111,WN910,2,W,127.0,5.0,9.448818897637794,529177,139.0,12.0,9
12,1550483151,416000116,W,1550662800,49.9025,WN910,2,W,139.0,9.0,5.755395683453237,179649,147.0,8.0,9
1,1549967296,416000117,W,1550640600,187.0288888888889,WN927,2,W,353.0,4.0,14.164305949008499,673304,403.0,50.0,4
3,1550133596,416000117,W,1550640600,140.83444444444447,WN927,2,W,403.0,3.0,28.78411910669975,507004,519.0,116.0,3
4,1550141329,416000117,W,1550640600,138.68638888888887,WN927,2,W,519.0,3.0,5.973025048169557,499271,550.0,31.0,9
5,1550176874,416000117,W,1550640600,128.81277777777777,WN927,2,W,550.0,9.0,-5.636363636363637,463726,519.0,-31.0,3
11,1550482678,416000117,W,1550640600,43.867222222222225,WN927,2,W,519.0,9.0,5.973025048169557,157922,550.0,31.0,9
3,1550133596,416000118,W,1550662800,147.00111111111113,WN879,2,W,249.0,9.0,100.40160642570281,529204,499.0,250.0,9
7,1550482678,416000118,W,1550662800,50.03388888888889,WN879,2,W,499.0,9.0,10.220440881763528,180122,550.0,51.0,9
3,1550133596,416000119,W,1550636700,139.75111111111113,WN352,2,W,350.0,9.0,32.857142857142854,503104,465.0,115.0,9
